,Title,Published_date,Views,Likes,Comments
0,"I call this the 'No, You Don't' Law",2024-04-10,3868507,212528,1370
1,Congress is about to make a huge mistake for astronomy #SaveChandra,2024-04-04,8313309,619685,16008
2,Why is this number everywhere?,2024-03-28,5819902,203270,27360
3,How Japanese Masters Turn Sand Into Swords,2024-03-21,6115170,207667,7383
4,I buried myself in concrete to explain how it works,2024-03-13,5078333,159514,1691
5,The Oldest Unsolved Problem in Math,2024-03-08,6767328,199338,10852
6,The Trillion Dollar Equation,2024-02-27,6768027,228767,7837
7,World's strongest magnet!,2024-02-21,12910804,584833,3124
8,Why It Was Almost Impossible to Make the Blue LED,2024-02-08,19186080,631785,24934
9,I waterproofed myself with aerogel!,2024-02-01,47873408,2128362,16996
10,The Rainiest Place On Earth,2024-01-26,4096892,99065,3146
11,Do People Understand The Scale Of The Universe?,2024-01-15,4239417,184849,30114
12,"What Game Theory Reveals About Life, The Universe, and Everything",2023-12-23,7838091,351760,13402
13,Inside Japan’s Earthquake Simulator,2023-12-19,1738762,68092,1866
14,The SAT Question Everyone Got Wrong,2023-11-30,10895052,307566,18560
15,The Surprising Genius of Sewing Machines,2023-11-22,9154273,242495,6409
16,What The Ultimate Study On Happiness Reveals,2023-11-15,4072046,159579,9797
17,How Do Night Vision Goggles Work? (There's 3 types),2023-11-04,4691015,167161,5449
18,The Problem With Science Communication,2023-10-31,2876176,110443,4525
19,How One Line in the Oldest Math Text Hinted at Hidden Universes,2023-10-21,8273495,233024,9906
20,The Man Who Killed Millions and Saved Billions (Clean Version),2023-10-07,3776456,94347,3422
21,Pushing The Limits Of Extreme Breath-Holding,2023-09-30,2553547,100104,4007
22,How Close We've Come to Nuclear War,2023-09-11,2782456,114052,4354
23,How The Most Useless Branch of Math Could Save Your Life,2023-09-03,6531288,183585,8530
24,How Airships Work (And Why They Should Make A Comeback),2023-08-31,3284561,122188,10683
25,I Took an IQ Test to Find Out What it Actually Measures,2023-08-03,7233524,228882,22669
26,The Real Story of Oppenheimer,2023-07-18,12527475,383493,15009
27,The Hidden Science of Fireworks,2023-07-07,3753634,145298,5018
28,The Most Misunderstood Concept in Physics,2023-07-01,12759258,462369,19234
29,I Vacuum Venom from the World's Deadliest Spider,2023-06-21,2511255,93123,3159
30,Mathematicians Use Numbers Differently From The Rest of Us,2023-06-06,6109148,169154,9880
31,The Fastest Maze-Solving Competition On Earth,2023-05-24,18136498,346359,7377
32,Why The First Computers Were Made Out Of Light Bulbs,2023-05-13,5090405,196968,6334
33,How NASA Reinvented The Wheel,2023-04-29,12860874,230724,7614
